,Wild,Wild,Wild,,W86A,W86A,W86A,,W286A,W286A,W286A
13.2,2.923,3.873,4.292,,3.22,4.176,5.51,,3.014,3.756,4.524
13.3,2.67,3.646,4.192,,3.828,4.255,5.555,,2.784,3.607,4.093
13.4,2.991,3.217,3.967,,3.459,4.468,6.002,,2.523,3.451,4.21
13.5,2.841,3.192,4.209,,3.75,4.377,6.271,,2.415,3.354,3.962
13.6,3.212,3.453,4.137,,3.381,4.464,5.814,,2.765,3.586,3.974
13.7,2.669,3.163,4.321,,3.505,4.316,5.815,,2.361,3.293,4.059
13.8,2.872,3.586,4.246,,3.652,4.278,6.312,,2.484,3.69,4.101
13.9,2.893,3.566,4.092,,3.305,4.206,6.158,,2.475,3.766,3.97
14,3.033,3.527,4.417,,3.279,4.44,5.909,,2.409,3.884,4.119
14.1,2.837,3.847,4.175,,3.483,4.467,6.111,,2.496,3.378,4.002
14.2,2.806,3.66,4.145,,3.368,4.264,5.918,,2.842,3.919,4.112
14.3,2.944,3.785,4.319,,3.481,4.075,5.933,,2.598,3.446,3.788
14.4,2.849,3.949,4.168,,3.499,4.533,6.188,,2.668,3.457,4.042
14.5,3.005,3.64,4.152,,3.16,4.672,5.783,,2.823,3.48,4.09
14.6,3,3.733,4.423,,3.145,4.318,5.874,,2.569,3.579,3.976
14.7,2.782,3.403,4.154,,3.253,4.249,6.199,,2.505,3.286,4.089
14.8,2.887,3.624,4.315,,3.21,4.355,6.091,,2.838,3.399,4.377
14.9,2.803,3.438,4.545,,3.835,4.287,5.483,,2.587,3.597,4.002
15,2.913,3.705,3.997,,3.479,4.378,5.835,,2.664,3.546,3.867
15.1,2.902,3.882,4.239,,3.308,4.35,5.906,,2.639,3.51,4.032
15.2,3.059,3.709,4.163,,3.948,4.072,5.33,,2.732,3.646,4.22
15.3,2.802,3.424,4.094,,3.663,4.392,5.739,,2.62,3.534,4.288
15.4,3.064,3.513,4.496,,3.696,4.186,5.066,,2.627,3.762,4.024
15.5,2.904,3.366,4.097,,3.469,3.84,4.933,,2.611,4.12,4.187
15.6,3.025,3.064,4.108,,3.804,4.861,5.413,,2.663,3.689,4.06
15.7,2.736,3.066,4.109,,3.701,4.386,5.855,,2.752,3.688,4.198
15.8,3.017,3.044,4.06,,3.349,4.717,5.536,,2.477,4.045,4.004
15.9,2.746,3.556,4.25,,3.958,4.715,5.499,,2.495,3.671,4.182
16,3.053,3.752,4.643,,3.457,4.559,5.863,,2.935,3.545,4.133
16.1,3.015,3.131,4.531,,2.966,4.366,5.186,,2.536,3.359,4.224
16.2,2.673,3.056,4.702,,3.351,4.124,5.601,,2.762,3.325,4.077
16.3,2.854,3.401,4.63,,3.441,4.162,5.224,,2.491,3.817,4.025
