,Wild,Wild,Wild,,W86A,W86A,W86A,,W286A,W286A,W286A
Time,41,1821,3191,,41,1821,3191,,41,1821,3191
15.6,2.808,2.836,4.508,,7.371,6.994,3.733,,4.68,5.512,2.62
15.7,2.672,2.673,3.989,,6.975,7.141,3.534,,4.732,5.274,2.309
15.8,2.852,2.808,4.088,,6.214,6.942,4.207,,4.558,5.59,2.544
15.9,2.599,2.832,4.184,,6.779,6.694,3.7,,4.429,5.395,2.614
16,2.721,1.627,3.965,,7.134,6.791,3.812,,4.55,5.648,3.076
16.1,2.745,2.055,3.683,,6.221,6.566,3.91,,4.835,5.13,2.435
16.2,2.644,2.101,3.953,,6.958,6.775,3.406,,4.341,5.367,2.508
16.3,2.59,2.261,4.073,,7.198,7.378,3.613,,4.125,5.153,2.603
16.4,3.141,2.338,3.804,,6.931,6.857,4.094,,4.261,5.57,1.986
16.5,2.869,1.885,3.879,,7.24,6.281,3.522,,5.206,5.51,2.658
16.6,2.704,2.011,4.034,,6.653,6.941,3.789,,4.577,5.49,3.001
16.7,2.756,1.911,3.809,,6.815,6.681,3.846,,4.323,5.555,3.435
16.8,2.761,2.316,3.544,,7.113,7.302,3.902,,4.692,5.41,3.263
16.9,2.902,2.126,3.894,,6.508,7.03,4.096,,4.796,5.184,3.185
17,2.793,2.049,4.287,,6.94,7.084,3.961,,4.458,5.191,3.334
17.1,2.581,2.172,4.14,,5.776,6.465,4.333,,4.554,5.321,3.181
17.2,2.395,2.1,3.996,,6.831,6.704,4.213,,4.536,5.746,2.829
17.3,2.687,1.985,4.613,,6.767,6.562,3.972,,4.404,5.306,2.669
17.4,2.411,2.152,4.317,,6.909,6.876,3.673,,4.528,5.212,3.204
17.5,2.531,2.14,4.348,,7.196,6.937,4.105,,4.549,5.456,2.623
17.6,2.623,1.948,4.536,,7.486,6.808,4.058,,4.65,5.252,2.303
17.7,2.642,2.201,3.942,,6.981,6.322,3.86,,4.403,5.076,2.438
17.8,2.587,2.038,4.342,,6.731,6.254,3.763,,5.158,5.393,2.259
17.9,2.651,2.011,4.192,,6.894,6.64,3.123,,4.647,5.501,2.178
18,2.461,1.783,4.318,,6.476,6.612,3.584,,4.802,5.313,2.596
18.1,2.528,1.961,4.426,,6.439,6.682,3.413,,4.425,5.412,2.287
18.2,2.756,2.099,4.199,,7.35,7.052,3.987,,4.678,5.53,1.904
18.3,2.515,2.196,4.416,,6.568,7.092,3.916,,4.867,5.464,2.155
18.4,2.638,2.14,4.331,,7.066,6.702,3.904,,4.523,5.36,1.769
18.5,2.387,2.323,4.434,,8.077,6.576,3.788,,4.432,5.487,1.737
18.6,2.529,2.162,4.414,,8.218,6.769,3.722,,4.687,5.333,1.916
18.7,2.611,2.33,4.48,,7.55,7.011,3.657,,4.745,5.046,1.93
18.8,2.635,2.131,4.379,,8.443,6.731,4.414,,4.334,5.362,1.944
18.9,2.435,2.221,4.415,,8.245,6.644,3.859,,4.617,5.284,1.967
19,3.13,2.121,4.42,,8.23,6.676,3.411,,4.445,5.718,1.831
19.1,3.102,2.207,4.054,,8.167,7.045,3.639,,4.145,5.308,1.71
19.2,3.054,2.177,4.231,,7.607,7.445,4.181,,4.699,5.432,1.842
19.3,3.252,1.832,4.433,,7.238,7.331,3.452,,4.677,5.206,1.638
19.4,2.864,2.061,4.55,,7.563,7.076,3.444,,4.659,5.213,1.637
19.5,3.058,2.255,4.216,,7.647,7.904,3.497,,4.284,5.545,2.016
