Activity_ID,Quality,source,CID,SMILES,,,,,doc_id,Year,all_years,type_IC50,type_EC50,type_KD,type_Ki,pchembl_value,pchembl_value_Mean,pchembl_value_Median
CQESHWHFRATISZ_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.200723,COc1cc2c(cc1OC)C(=O)C(Oc1ccc(C(C)N3CCOCC3)cc1)C2,,,,,DOI:10.1007/s00044-012-0227-3,2013,2013,0,0,0,1,6.66,6.66,6.66
CQZPKEFEHXEQPI_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.100545,CCN(C)Cc1cccc(CC2Cc3c(cc(OC)c(OC)c3)C2=O)c1,,,,,DOI:10.1007/s00044-012-0227-3,2013,2013,0,0,0,1,6.29,6.29,6.29
CRMOWQKTQGSOFA_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.40935,CCC[n+]1ccc(CCC(=O)C2Cc3c(cc(OC)c(OC)c3)S2)cc1,,,,,PMID:15481986,2004,2004,0,0,0,1,5.59,5.59,5.59
CRNAJFAIPHACBA_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.245658,O=C(NCCCCCCCNc1c2CCCCc2nc2c1cccc2)c1cc2c(ccc(OC(F)(F)F)c2)oc1=O,,,,,PMID:25088549,2014,2014,0,0,0,1,7.11,7.11,7.11
CWPJXPVVERJSEL_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.40918,C[N+]1(Cc2ccccc2)CCC(CCC(=O)c2cc3c(cc2)OCCO3)CC1,,,,,PMID:12182861,2002,2004,0,0,0,1,7,7,7
CZMZUNUZUGWCRN_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.398675,COc1c(OC)cc2c(=O)cc(C(=O)OCCC3CCN(Cc4ccccc4)CC3)oc2c1,,,,,PMID:30025348,2018,2018,0,0,0,1,7.96,7.96,7.96
CZVSHXUUSIQWSO_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.200550,COc1c(CC=C(C)CCC=C(C)C)cc(C2CC(=O)c3c(cc(O)cc3O)O2)c(O)c1,,,,,DOI:10.1007/s00044-012-0353-y,2013,2013,0,0,0,1,5.51,5.51,5.51
DCZOKUPYRTZAFN_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.469198,COc1c(OC)cc2C(=O)C(CC3(F)CCN(Cc4c(F)cccc4)CC3)Cc2c1,,,,,PMID:33570950,2021,2021,0,0,1,0,8.46,8.46,8.46
DDWFGGYILGYLLT_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.100534,COc1c(OC)cc2C(=O)C(Cc3cc(CN4CCCCC4)ccc3)Cc2c1,,,,,DOI:10.1007/s00044-012-0227-3,2013,2013,0,0,0,1,7.23,7.23,7.23
DMTOWVUOHDLGGK_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.226223,O=[N+]([O-])c1c2nc3CCCCc3c(NCCCCCCCCNc3c4CCCCc4nc4ccccc34)c2ccc1,,,,,PMID:24900626,2013,2013,0,0,0,1,9.11,9.11,9.11
DNOBRQKRZLULQE_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.245622,CCN(CC)CCCOc1ccc2nc3CCCCn3c(=O)c2c1,,,,,PMID:25047936,2014,2014,1,0,0,0,5.82,5.82,5.82
DPIFFAVGHCOCCC_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.303073,COc1ccc2CC(=CC3CCN(Cc4ccccc4)CC3)C(=O)c2c1,,,,,PMID:27190595,2016,2016,0,0,0,1,6.58,6.58,6.58
DQPVCSPAVCOSNM_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.309715,CN(C)C(=O)Oc1cc(C(=O)C=Cc2ccc(O)cc2)ccc1,,,,,PMID:27856236,2017,2017,0,0,0,1,6.28,6.28,6.28
DSNCCKXVOUSUFC_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.245654,Cc1ccc2oc(=O)c(C(=O)NCCCCCNc3c4CCCCc4nc4c3cccc4)cc2c1,,,,,PMID:25088549,2014,2014,0,0,0,1,7.45,7.45,7.45
DSRVEVDNVDPNPP_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.264848,COc1c(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)c(OC)ccc1,,,,,PMID:25921269,2015,2015,0,0,0,1,10.98,10.98,10.98
DSZSFXBQJSWJTK_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.410399,NS(=O)(=O)c1ccc(C(=O)n2[nH]c(=O)c3c(ccc([N+](=O)[O-])c3)c2=O)cc1,,,,,PMID:31401008,2019,2019,0,0,0,1,7.22,7.22,7.22
DUFNIJJWDMNBKO_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.133027,O=C(NCCN1CCCC1)N1c2ccccc2Sc2c1cccc2,,,,,PMID:20181484,2010,2010,0,0,0,1,4.53,4.53,4.53
DXPFFPDCRUGNRH_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.200724,COc1cc2c(cc1OC)C(=O)C(Oc1ccc(CN3CCOCC3)cc1)C2,,,,,DOI:10.1007/s00044-012-0227-3,2013,2013,0,0,0,1,6.29,6.29,6.29
DYDMQTJZQBAGEY_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.245621,O=c1c2c(ccc(OCCCN3CCCCC3)c2)nc2CCCCCn21,,,,,PMID:25047936,2014,2014,1,0,0,0,6.09,6.09,6.09
DZSDRGBLRNZFES_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.40927,c1ccc(CN2CCC(CCNc3noc4ccccc34)CC2)cc1,,,,,PMID:8064800,1994,2004,0,0,0,1,6.09,6.09,6.09
FCENVZQUPSLBLT_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.264849,COc1cc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)c(OC)cc1,,,,,PMID:25921269,2015,2015,0,0,0,1,10.64,10.64,10.64
FEAVRTOEDVZKCJ_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.70712,O=C(Cc1c[nH]c2ccc(Br)cc12)NCCCCCCCNc1c2CCCCc2nc2cc(Cl)ccc12,,,,,PMID:16279781,2005,2005,0,0,0,1,10.7,10.7,10.7
FFFIPNCSQFQFOK_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.245668,COc1ccc2cc(C(=O)NCCCCCCNc3c4CCCCc4nc4c3cccc4)c(=O)oc2c1,,,,,PMID:25088549,2014,2014,0,0,0,1,7.51,7.51,7.51
FGLFSCKOWSXYQR_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.298293,COc1ccc2CC(NS(=O)(=O)N(C)C)CCc2c1,,,,,PMID:27068142,2016,2016,0,0,0,1,8.98,8.98,8.98
FKUUWLGWRLHFED_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.100562,COc1c(OC)cc2C(=O)C(=Cc3cccc(CN(C)C)c3)Cc2c1,,,,,DOI:10.1007/s00044-012-0227-3,2013,2013,0,0,0,1,7.21,7.21,7.21
FLHWTQLNLCKRSJ_on_P22303_WT,High,ChEMBL31,ChEMBL31.compound.98970,O=C(CNC(=O)C1Cc2c(cccc2)CN1)Nc1c2CCCCc2nc2ccccc12,,,,,PMID:18786825,2008,2008,0,0,0,1,5.38,5.38,5.38
