Wild,,,Trp86Ala,,,Trp286Ala,
,,,ligand_4761_log,-11.2,,ligand_3691_log,-11
,,,ligand_4801_log,-11.9,,ligand_371_log,-10.9
,,,ligand_481_log,-10.9,,ligand_3731_log,-10.8
,,,ligand_4811_log,-10.9,,ligand_3741_log,-11.7
,,,ligand_491_log,-11.9,,ligand_3751_log,-12.2
,,,ligand_4931_log,-11.1,,ligand_3801_log,-12.4
,,,ligand_5071_log,-11.2,,ligand_381_log,-11.8
,,,ligand_5141_log,-10.7,,ligand_3821_log,-10.9
,,,ligand_5161_log,-10.7,,ligand_3891_log,-12.1
,,,ligand_5171_log,-10.7,,ligand_3901_log,-11.9
,,,ligand_521_log,-10.9,,ligand_391_log,-11.5
,,,ligand_531_log,-11.2,,ligand_3911_log,-11.2
,,,ligand_601_log,-10.7,,ligand_3961_log,-11.4
,,,ligand_61_log,-10.7,,ligand_3981_log,-11.9
,,,ligand_631_log,-10.7,,ligand_401_log,-12
,,,ligand_641_log,-10.8,,ligand_4011_log,-11.5
,,,ligand_651_log,-12.1,,ligand_4051_log,-12
,,,ligand_661_log,-11.1,,ligand_4081_log,-11.1
,,,ligand_671_log,-10.9,,ligand_4091_log,-11.3
,,,ligand_701_log,-10.7,,ligand_41_log,-12.6
,,,ligand_71_log,-10.7,,ligand_4101_log,-11.3
,,,ligand_731_log,-10.8,,ligand_411_log,-13.1
,,,ligand_741_log,-11,,ligand_4131_log,-11.3
,,,ligand_771_log,-11.2,,ligand_4141_log,-12.2
,,,ligand_801_log,-11.2,,ligand_4151_log,-10.9
,,,ligand_831_log,-10.7,,ligand_4161_log,-11.4
,,,ligand_841_log,-11.2,,ligand_4191_log,-11.2
,,,ligand_851_log,-11.5,,ligand_421_log,-11.1
,,,ligand_871_log,-11.1,,ligand_4211_log,-11.6
,,,ligand_901_log,-10.9,,ligand_4221_log,-12.4
,,,ligand_921_log,-11.1,,ligand_4231_log,-11.3
,,,ligand_931_log,-12.1,,ligand_4241_log,-11.2
,,,ligand_941_log,-11.2,,ligand_4261_log,-11.6
,,,ligand_971_log,-11.4,,ligand_4301_log,-11.9
,,,ligand_981_log,-10.9,,ligand_431_log,-11.7
,,,,,,ligand_4311_log,-11
,,,,,,ligand_4341_log,-10.9
,,,,,,ligand_4361_log,-11.1
,,,,,,ligand_441_log,-10.9
,,,,,,ligand_4411_log,-11.9
,,,,,,ligand_4421_log,-12.6
,,,,,,ligand_4461_log,-11.8
,,,,,,ligand_4491_log,-11.3
,,,,,,ligand_451_log,-11.9
,,,,,,ligand_4531_log,-10.9
,,,,,,ligand_4561_log,-11.3
,,,,,,ligand_4571_log,-10.9
,,,,,,ligand_4601_log,-11.8
,,,,,,ligand_4621_log,-11.6
,,,,,,ligand_4631_log,-10.8
